x-axis,y_1,y_2
Hz,Cp,D 
63865.000000,2.559826E-11,4.852861E+01
63988.750000,2.560559E-11,4.841890E+01
64112.500000,2.563121E-11,4.827317E+01
64236.250000,2.569800E-11,4.805704E+01
64360.000000,2.564917E-11,4.805656E+01
64483.750000,2.565237E-11,4.795942E+01
64607.500000,2.564573E-11,4.787988E+01
64731.250000,2.563334E-11,4.781242E+01
64855.000000,2.559453E-11,4.779275E+01
64978.750000,2.562602E-11,4.764076E+01
65102.500000,2.562382E-11,4.755720E+01
65226.250000,2.569535E-11,4.733529E+01
65350.000000,2.560722E-11,4.740756E+01
65473.750000,2.561571E-11,4.729957E+01
65597.500000,2.563836E-11,4.717200E+01
65721.250000,2.565988E-11,4.704238E+01
65845.000000,2.568180E-11,4.691371E+01
65968.750000,2.565287E-11,4.687770E+01
